,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
395,Mad Max 2: The Road Warrior,1981,96,7.6,77.0,162760,12.47
396,Sleepers,1996,147,7.6,49.0,183248,49.1
397,Memories of Murder,2003,132,8.1,82.0,126263,0.01
398,The King's Speech,2010,118,8.0,88.0,625980,138.8
399,Kick-Ass,2010,117,7.6,66.0,516376,48.07
400,Gattaca,1997,106,7.8,64.0,274652,12.34
401,The Seventh Seal,1957,96,8.2,None Given,158095,
402,Beauty and the Beast,1991,84,8.0,95.0,409239,218.97
403,Being John Malkovich,1999,113,7.7,90.0,302419,22.86
404,How to Train Your Dragon,2010,98,8.1,75.0,648640,217.58
405,Grave of the Fireflies,1988,89,8.5,94.0,223093,
406,Boyhood,2014,165,7.9,100.0,329652,25.38
407,Gran Torino,2008,116,8.1,72.0,704449,148.1
408,Empire of the Sun,1987,153,7.7,62.0,112572,22.24
409,Roma,2018,135,7.7,96.0,133234,
410,The Grapes of Wrath,1940,129,8.0,96.0,84382,0.06
411,The Graduate,1967,106,8.0,83.0,248959,104.95
412,Boyz n the Hood,1991,112,7.7,76.0,120954,57.5
413,The Holy Mountain,1973,114,7.9,None Given,35088,0.06
414,Gifted,2017,101,7.6,60.0,94970,24.8
415,Match Point,2005,124,7.6,72.0,202155,23.09
416,For a Few Dollars More,1965,132,8.3,74.0,224381,15.0
417,Rain Man,1988,133,8.0,65.0,463154,178.8
418,It's a Wonderful Life,1946,130,8.6,89.0,386382,
419,Dog Day Afternoon,1975,125,8.0,86.0,229749,50.0
420,Shoplifters,2018,121,8.0,93.0,55348,3.31
421,End of Watch,2012,109,7.6,68.0,223528,41.0
422,Coraline,2009,100,7.7,80.0,189803,75.29
423,Searching,2018,102,7.6,71.0,128510,26.02
424,Walk the Line,2005,136,7.8,72.0,228420,119.52
425,Serpico,1973,130,7.7,87.0,105843,29.8
426,Spartacus,1960,197,7.9,87.0,121286,30.0
427,Barry Lyndon,1975,185,8.1,89.0,144239,
428,Philadelphia,1993,125,7.7,66.0,218755,77.32
